Anbieter,Typ,Wert,Zeitraum
Stadtwerke Augsburg,Arbeitspreis,"12,58 ct/kWh",01.01.2025
Stadtwerke Augsburg,Grundpreis,"196,78 €/Jahr",01.01.2025
Stadtwerke Kiel,Arbeitspreis,"13,52 ct/kWh",01.02.2025
Stadtwerke Kiel,Grundpreis,"177,36 €/Jahr",01.02.2025
Stadtwerke Tübingen,Arbeitspreis,"13,58 ct/kWh",01.01.2025
Stadtwerke Tübingen,Grundpreis,"138,53 €/Jahr",01.01.2025
Stadtwerke Schweinfurt,Arbeitspreis,"14,90 ct/kWh",01.01.2025
Stadtwerke Schweinfurt,Grundpreis,"178,50 €/Jahr",01.01.2025
Stadtwerke Bonn,Arbeitspreis,"13,79 ct/kWh",01.04.2024
Stadtwerke Bonn,Grundpreis,"204,92 €/Jahr",01.04.2024
Stadtwerke Leipzig,Arbeitspreis,"13,24 ct/kWh",01.04.2024
Stadtwerke Leipzig,Grundpreis,"138,00 €/Jahr",01.04.2024
Stadtwerke Karlsruhe,Arbeitspreis,"13,46 ct/kWh",01.03.2025
Stadtwerke Karlsruhe,Grundpreis,"192,78 €/Jahr",01.03.2025
Stadtwerke Essen,Arbeitspreis,"13,04 ct/kWh",01.01.2025
Stadtwerke Essen,Grundpreis,"118,29 €/Jahr",01.01.2025
Stadtwerke Ulm/Neu-Ulm (SWU),Arbeitspreis,"13,72 ct/kWh",01.01.2025
Stadtwerke Ulm/Neu-Ulm (SWU),Grundpreis,"134,32 €/Jahr",01.01.2025
REWAG,Arbeitspreis,"19,20 ct/kWh",01.04.2024
REWAG,Grundpreis,"38,71 €/Jahr",01.04.2024
Stadtwerke Bayreuth,Arbeitspreis,"12,26 ct/kWh",01.04.2024
Stadtwerke Bayreuth,Grundpreis,"146,37 €/Jahr",01.04.2024
Stadtwerke Bamberg,Arbeitspreis,"14,92 ct/kWh",01.01.2025
Stadtwerke Bamberg,Grundpreis,"257,40 €/Jahr",01.01.2025
Stadtwerke Landshut,Arbeitspreis,"13,99 ct/kWh",01.01.2025
Stadtwerke Landshut,Grundpreis,"91,53 €/Jahr",01.01.2025
Stadtwerke Hof,Arbeitspreis,"11,28 ct/kWh",01.04.2024
Stadtwerke Hof,Grundpreis,"182,50 €/Jahr",01.04.2024
E.ON Flensburg,Arbeitspreis,"12,16 ct/kWh",01.01.2025
E.ON Flensburg,Grundpreis,"281,55 €/Jahr",01.01.2025
Stadtwerke Gießen,Arbeitspreis,"12,28 ct/kWh",01.04.2024
Stadtwerke Gießen,Grundpreis,"167,00 €/Jahr",01.04.2024
Stadtwerke Pirmasens,Arbeitspreis,"16,24 ct/kWh",01.01.2025
Stadtwerke Pirmasens,Grundpreis,"143,94 €/Jahr",01.01.2025
Stadtwerke Düren,Arbeitspreis,"14,22 ct/kWh",01.04.2025
Stadtwerke Düren,Grundpreis,"239,90 €/Jahr",01.04.2025
E.ON Schwerin,Arbeitspreis,"12,47 ct/kWh",01.01.2025
E.ON Schwerin,Grundpreis,"273,51 €/Jahr",01.01.2025
Stadtwerke Coesfeld,Arbeitspreis,"15,35 ct/kWh",01.01.2025
Stadtwerke Coesfeld,Grundpreis,"178,50 €/Jahr",01.01.2025
Stadtwerke Dachau,Arbeitspreis,"13,14 ct/kWh",01.04.2025
Stadtwerke Dachau,Grundpreis,"253,85 €/Jahr",01.04.2025
Stadtwerke Delmenhorst,Arbeitspreis,"10,27 ct/kWh",01.09.2024
Stadtwerke Delmenhorst,Grundpreis,"142,81 €/Jahr",01.09.2024
Stadtwerke Heidenheim,Arbeitspreis,"12,89 ct/kWh",01.01.2025
Stadtwerke Heidenheim,Grundpreis,"219,06 €/Jahr",01.01.2025
Stadtwerke Wolfenbüttel,Arbeitspreis,"11,48 ct/kWh",01.03.2024
Stadtwerke Wolfenbüttel,Grundpreis,"99,90 €/Jahr",01.03.2024
Stadtwerke Merseburg,Arbeitspreis,"14,26 ct/kWh",01.01.2025
Stadtwerke Merseburg,Grundpreis,"142,81 €/Jahr",01.01.2025
badenova Energie,Arbeitspreis,"12,29 ct/kWh",01.03.2025
badenova Energie,Grundpreis,"140,94 €/Jahr",01.03.2025
EFG Erdgas Forchheim,Arbeitspreis,"13,02 ct/kWh",01.01.2025
EFG Erdgas Forchheim,Grundpreis,"85,68 €/Jahr",01.01.2025
Stadtwerke Bad Nauheim,Arbeitspreis,"12,16 ct/kWh",01.04.2024
Stadtwerke Bad Nauheim,Grundpreis,"111,13 €/Jahr",01.04.2024
Stadtwerke Northeim,Arbeitspreis,"13,05 ct/kWh",01.01.2025
Stadtwerke Northeim,Grundpreis,"149,94 €/Jahr",01.01.2025
Städische Werke,Arbeitspreis,"14,80 ct/kWh",01.04.2024
Städische Werke,Grundpreis,"155,15 €/Jahr",01.04.2024
Stadtwerke Lemgo,Arbeitspreis,"12,62 ct/kWh",01.02.2025
Stadtwerke Lemgo,Grundpreis,"64,97 €/Jahr",01.02.2025
Stadtwerke Bad Salzuflen,Arbeitspreis,"11,90 ct/kWh",01.02.2025
Stadtwerke Bad Salzuflen,Grundpreis,"118,95 €/Jahr",01.02.2025
Stadtwerke Zeitz,Arbeitspreis,"13,89 ct/kWh",01.01.2025
Stadtwerke Zeitz,Grundpreis,"128,53 €/Jahr",01.01.2025
Stadtwerke Soest,Arbeitspreis,"14,16 ct/kWh",01.04.2024
Stadtwerke Soest,Grundpreis,"178,50 €/Jahr",01.04.2024
Stadtwerke Energie Jena-Pößneck,Arbeitspreis,"16,02 ct/kWh",01.10.2023
Stadtwerke Energie Jena-Pößneck,Grundpreis,"98,25 €/Jahr",01.10.2023
Stadtwerke Ostmünsterland,Arbeitspreis,"13,03 ct/kWh",01.01.2025
Stadtwerke Ostmünsterland,Grundpreis,"199,92 €/Jahr",01.01.2025
MITGAS,Arbeitspreis,"14,14 ct/kWh",01.01.2025
MITGAS,Grundpreis,"80,33 €/Jahr",01.01.2025
Stadtwerke Bad Pyrmont,Arbeitspreis,"12,28 ct/kWh",01.05.2024
Stadtwerke Bad Pyrmont,Grundpreis,"142,81 €/Jahr",01.05.2024
Stadtwerke Troisdorf,Arbeitspreis,"13,24 ct/kWh",01.04.2024
Stadtwerke Troisdorf,Grundpreis,"149,89 €/Jahr",01.04.2024
Stadtwerke Gronau,Arbeitspreis,"13,07 ct/kWh",01.01.2025
Stadtwerke Gronau,Grundpreis,"138,23 €/Jahr",01.01.2025
Stadtwerke Itzehoe,Arbeitspreis,"11,89 ct/kWh",01.01.2025
Stadtwerke Itzehoe,Grundpreis,"253,47 €/Jahr",01.01.2025
Stadtwerke Bebra,Arbeitspreis,"14,19 ct/kWh",01.04.2024
Stadtwerke Bebra,Grundpreis,"146,37 €/Jahr",01.04.2024
Energie Südbayern,Arbeitspreis,"13,64 ct/kWh",01.10.2024
Energie Südbayern,Grundpreis,"251,99 €/Jahr",01.10.2024
Stadtwerke Lübbecke,Arbeitspreis,"12,37 ct/kWh",01.01.2025
Stadtwerke Lübbecke,Grundpreis,"246,19 €/Jahr",01.01.2025
Stadtwerke Wernigerode,Arbeitspreis,"13,64 ct/kWh",01.01.2024
Stadtwerke Wernigerode,Grundpreis,"166,65 €/Jahr",01.01.2024
Stadtwerke Weinheim,Arbeitspreis,"13,04 ct/kWh",01.01.2025
Stadtwerke Weinheim,Grundpreis,"214,20 €/Jahr",01.01.2025
Erdgas Südwest,Arbeitspreis,"13,98 ct/kWh",01.04.2024
Erdgas Südwest,Grundpreis,"163,22 €/Jahr",01.04.2024
Stadtwerke Dreieich,Arbeitspreis,"13,95 ct/kWh",01.01.2025
Stadtwerke Dreieich,Grundpreis,"214,00 €/Jahr",01.01.2025
LokalWerke,Arbeitspreis,"12,95 ct/kWh",01.01.2025
LokalWerke,Grundpreis,"155,65 €/Jahr",01.01.2025
Stadtwerke Mosbach,Arbeitspreis,"15,91 ct/kWh",01.07.2024
Stadtwerke Mosbach,Grundpreis,"189,21 €/Jahr",01.07.2024
Stadtwerke Gaggenau,Arbeitspreis,"13,89 ct/kWh",01.01.2025
Stadtwerke Gaggenau,Grundpreis,"62,15 €/Jahr",01.01.2025
Erenja AG,Arbeitspreis,"11,31 ct/kWh",01.01.2025
Erenja AG,Grundpreis,"333,51 €/Jahr",01.01.2025
Stadtwerke Straubing,Arbeitspreis,"14,71 ct/kWh",Unbekannt
Stadtwerke Straubing,Grundpreis,"42,84 €/Jahr",Unbekannt
Stadtwerke Schwäbisch Hall,Arbeitspreis,"13,23 ct/kWh",01.01.2025
Stadtwerke Schwäbisch Hall,Grundpreis,"185,64 €/Jahr",01.01.2025
Stadtwerke Ahlen,Arbeitspreis,"12,80 ct/kWh",01.01.2025
Stadtwerke Ahlen,Grundpreis,"185,64 €/Jahr",01.01.2025
energie schwaben,Arbeitspreis,"11,90 ct/kWh",01.01.2025
energie schwaben,Grundpreis,"142,81 €/Jahr",01.01.2025
WSW,Arbeitspreis,"13,27 ct/kWh",01.02.2025
WSW,Grundpreis,"178,61 €/Jahr",01.02.2025
Energieversorgung Rüsselsheim,Arbeitspreis,"13,91 ct/kWh",01.01.2025
Energieversorgung Rüsselsheim,Grundpreis,"187,35 €/Jahr",01.01.2025
Stadtwerke Bad Hersfeld,Arbeitspreis,"14,64 ct/kWh",01.04.2024
Stadtwerke Bad Hersfeld,Grundpreis,"142,81 €/Jahr",01.04.2024
Mainova,Arbeitspreis,"13,22 ct/kWh",01.01.2025
Mainova,Grundpreis,"108,30 €/Jahr",01.01.2025
E.ON Belm,Arbeitspreis,"13,97 ct/kWh",01.01.2025
E.ON Belm,Grundpreis,"269,06 €/Jahr",01.01.2025
E.ON Regen,Arbeitspreis,Unbekannt,Unbekannt
E.ON Regen,Grundpreis,Unbekannt,Unbekannt
SWB,Arbeitspreis,"11,77 ct/kWh",01.01.2025
SWB,Grundpreis,"132,38 €/Jahr",01.01.2025
Rheinische Energie AG,Arbeitspreis,"16,93 ct/kWh",01.04.2024
Rheinische Energie AG,Grundpreis,"179,93 €/Jahr",01.04.2024
Stadtwerke Bad Kreuznach,Arbeitspreis,"13,64 ct/kWh",01.01.2025
Stadtwerke Bad Kreuznach,Grundpreis,"199,92 €/Jahr",01.01.2025
E.ON Oststeinbek,Arbeitspreis,"10,90 ct/kWh",01.01.2025
E.ON Oststeinbek,Grundpreis,"261,90 €/Jahr",01.01.2025
ENTEGA PLUS,Arbeitspreis,"12,86 ct/kWh",01.04.2025
ENTEGA PLUS,Grundpreis,"228,00 €/Jahr",01.04.2025
Stadtwerke Dinslaken,Arbeitspreis,"11,95 ct/kWh",01.01.2025
Stadtwerke Dinslaken,Grundpreis,"120,00 €/Jahr",01.01.2025
Stadtwerke Jülich,Arbeitspreis,"14,40 ct/kWh",01.04.2024
Stadtwerke Jülich,Grundpreis,"200,06 €/Jahr",01.04.2024
Stadtwerke Kamp-Lintfort,Arbeitspreis,"15,58 ct/kWh",01.01.2025
Stadtwerke Kamp-Lintfort,Grundpreis,"200,40 €/Jahr",01.01.2025
Stadtwerke Kleve,Arbeitspreis,"10,95 ct/kWh",01.01.2025
Stadtwerke Kleve,Grundpreis,"102,22 €/Jahr",01.01.2025
Stadtwerke Meerbusch,Arbeitspreis,"14,28 ct/kWh",01.04.2024
Stadtwerke Meerbusch,Grundpreis,"237,60 €/Jahr",01.04.2024
Stadtwerke Neuss,Arbeitspreis,"12,55 ct/kWh",01.01.2025
Stadtwerke Neuss,Grundpreis,"205,12 €/Jahr",01.01.2025
Stadtwerke Düsseldorf,Arbeitspreis,"11,97 ct/kWh",01.01.2025
Stadtwerke Düsseldorf,Grundpreis,"100,67 €/Jahr",01.01.2025
E.ON Dortmund,Arbeitspreis,"14,23 ct/kWh",01.01.2025
E.ON Dortmund,Grundpreis,"298,69 €/Jahr",01.01.2025
DREWAG (Dresden),Arbeitspreis,"17,11 ct/kWh",01.04.2025
DREWAG (Dresden),Grundpreis,"64,02 €/Jahr",01.04.2025
E.ON Energie,Arbeitspreis,"12,98 ct/kWh",01.01.2025
E.ON Energie,Grundpreis,"260,51 €/Jahr",01.01.2025
Stadtwerke Duisburg,Arbeitspreis,"16,34 ct/kWh",01.01.2025
Stadtwerke Duisburg,Grundpreis,"258,55 €/Jahr",01.01.2025
AVU Aktiengesellschaft,Arbeitspreis,"12,53 ct/kWh",01.12.2023
AVU Aktiengesellschaft,Grundpreis,"252,53 €/Jahr",01.12.2023
Emscher Lippe energie,Arbeitspreis,"12,61 ct/kWh",01.01.2025
Emscher Lippe energie,Grundpreis,"210,51 €/Jahr",01.01.2025
STAWAG (Aachen),Arbeitspreis,"13,16 ct/kWh",01.01.2025
STAWAG (Aachen),Grundpreis,"141,25 €/Jahr",01.01.2025
Braunschweiger Versorgung,Arbeitspreis,"14,06 ct/kWh",01.01.2025
Braunschweiger Versorgung,Grundpreis,"137,99 €/Jahr",01.01.2025
Städtische Werke Magdeburg,Arbeitspreis,"11,98 ct/kWh",01.04.2024
Städtische Werke Magdeburg,Grundpreis,"103,53 €/Jahr",01.04.2024
EVH,Arbeitspreis,"12,57 ct/kWh",01.01.2025
EVH,Grundpreis,"192,09 €/Jahr",01.01.2025
TWO,Arbeitspreis,"12,14 ct/kWh",01.01.2025
TWO,Grundpreis,"116,86 €/Jahr",01.01.2025
SWE Energie (Erfurt),Arbeitspreis,"15,67 ct/kWh",01.01.2025
SWE Energie (Erfurt),Grundpreis,"133,23 €/Jahr",01.01.2025
Stadtwerke Lübeck,Arbeitspreis,"13,30 ct/kWh",01.04.2024
Stadtwerke Lübeck,Grundpreis,"115,95 €/Jahr",01.04.2024
Energieversorgung Oberhausen AG,Arbeitspreis,"13,09 ct/kWh",01.01.2025
Energieversorgung Oberhausen AG,Grundpreis,"180,00 €/Jahr",01.01.2025
Stadtwerke Rostock,Arbeitspreis,"14,10 ct/kWh",01.01.2025
Stadtwerke Rostock,Grundpreis,"213,21 €/Jahr",01.01.2025
Mark-E,Arbeitspreis,"12,65 ct/kWh",01.02.2025
Mark-E,Grundpreis,"155,59 €/Jahr",01.02.2025
Energie und Wasser Potsdam,Arbeitspreis,"14,55 ct/kWh",01.01.2025
Energie und Wasser Potsdam,Grundpreis,"135,23 €/Jahr",01.01.2025
SaarLorLux,Arbeitspreis,"14,46 ct/kWh",01.01.2025
SaarLorLux,Grundpreis,"84,91 €/Jahr",01.01.2025
Stadtwerke Hamm,Arbeitspreis,"11,29 ct/kWh",01.04.2024
Stadtwerke Hamm,Grundpreis,"145,66 €/Jahr",01.04.2024
Energieversorgung Leverkusen,Arbeitspreis,"14,45 ct/kWh",01.01.2025
Energieversorgung Leverkusen,Grundpreis,"209,44 €/Jahr",01.01.2025
LSW Energie (Wolfsburg),Arbeitspreis,"9,94 ct/kWh",01.01.2025
LSW Energie (Wolfsburg),Grundpreis,"167,79 €/Jahr",01.01.2025
WEVG Salzgitter,Arbeitspreis,"12,48 ct/kWh",01.05.2024
WEVG Salzgitter,Grundpreis,"151,94 €/Jahr",01.05.2024
Stadtwerke Bad Harzburg,Arbeitspreis,"13,29 ct/kWh",01.01.2025
Stadtwerke Bad Harzburg,Grundpreis,"197,06 €/Jahr",01.01.2025
Energieversorgung Sehnde,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Energieversorgung Sehnde,Grundpreis,"164,22 €/Jahr",01.01.2025
Energieversorgung Hildesheim,Arbeitspreis,"12,95 ct/kWh",01.01.2025
Energieversorgung Hildesheim,Grundpreis,"214,14 €/Jahr",01.01.2025
Stadtwerke Rinteln,Arbeitspreis,"13,71 ct/kWh",01.01.2025
Stadtwerke Rinteln,Grundpreis,"188,92 €/Jahr",01.01.2025
Stadtwerke Peine,Arbeitspreis,"12,16 ct/kWh",01.01.2025
Stadtwerke Peine,Grundpreis,"160,51 €/Jahr",01.01.2025
Harz Energie,Arbeitspreis,"13,36 ct/kWh",01.01.2025
Harz Energie,Grundpreis,"171,36 €/Jahr",01.01.2025
E.ON Bleckede,Arbeitspreis,"12,98 ct/kWh",01.01.2025
E.ON Bleckede,Grundpreis,"260,51 €/Jahr",01.01.2025
Versorgungsbetriebe Hann Münden,Arbeitspreis,"13,52 ct/kWh",01.01.2025
Versorgungsbetriebe Hann Münden,Grundpreis,"140,42 €/Jahr",01.01.2025
Stadtwerke Garbsen,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Stadtwerke Garbsen,Grundpreis,"166,60 €/Jahr",01.01.2025
Stadtwerke Schüttorf - Emsbüren,Arbeitspreis,"11,78 ct/kWh",01.01.2025
Stadtwerke Schüttorf - Emsbüren,Grundpreis,"157,09 €/Jahr",01.01.2025
E.ON Teutoburg,Arbeitspreis,"13,97 ct/kWh",01.01.2025
E.ON Teutoburg,Grundpreis,"269,06 €/Jahr",01.01.2025
EVB Huntetal,Arbeitspreis,"11,86 ct/kWh",01.01.2025
EVB Huntetal,Grundpreis,"171,36 €/Jahr",01.01.2025
Stadtwerke Böhmetal,Arbeitspreis,"10,41 ct/kWh",01.01.2025
Stadtwerke Böhmetal,Grundpreis,"107,10 €/Jahr",01.01.2025
Stadtwerke Hameln,Arbeitspreis,"11,70 ct/kWh",01.02.2025
Stadtwerke Hameln,Grundpreis,"95,82 €/Jahr",01.02.2025
Stadtwerke Buchholz,Arbeitspreis,"11,88 ct/kWh",01.03.2025
Stadtwerke Buchholz,Grundpreis,"124,95 €/Jahr",01.03.2025
Stadtwerke Bramsche,Arbeitspreis,"11,10 ct/kWh",01.01.2025
Stadtwerke Bramsche,Grundpreis,"109,53 €/Jahr",01.01.2025
Stadtwerke Soltau,Arbeitspreis,"13,63 ct/kWh",01.03.2025
Stadtwerke Soltau,Grundpreis,"126,95 €/Jahr",01.03.2025
Stadtwerke Verden,Arbeitspreis,"11,98 ct/kWh",01.01.2025
Stadtwerke Verden,Grundpreis,"76,66 €/Jahr",01.01.2025
Stadtwerke Burgdorf,Arbeitspreis,"10,41 ct/kWh",01.01.2025
Stadtwerke Burgdorf,Grundpreis,"147,66 €/Jahr",01.01.2025
Stadtwerke Schaumburg-Lippe,Arbeitspreis,"12,20 ct/kWh",01.01.2025
Stadtwerke Schaumburg-Lippe,Grundpreis,"114,24 €/Jahr",01.01.2025
Gemeindewerke Bovenden,Arbeitspreis,"12,90 ct/kWh",01.01.2025
Gemeindewerke Bovenden,Grundpreis,"149,94 €/Jahr",01.01.2025
Energiewerke Isernhagen,Arbeitspreis,"11,31 ct/kWh",01.01.2025
Energiewerke Isernhagen,Grundpreis,"162,17 €/Jahr",01.01.2025
Stadtwerke Einbeck,Arbeitspreis,"13,03 ct/kWh",01.01.2025
Stadtwerke Einbeck,Grundpreis,"174,24 €/Jahr",01.01.2025
Stadtwerke Lüdenscheid,Arbeitspreis,"12,77 ct/kWh",01.02.2025
Stadtwerke Lüdenscheid,Grundpreis,"173,44 €/Jahr",01.02.2025
Stadtwerke Lippstadt,Arbeitspreis,"10,94 ct/kWh",01.01.2025
Stadtwerke Lippstadt,Grundpreis,"160,50 €/Jahr",01.01.2025
Eins energie in Sachsen,Arbeitspreis,"14,68 ct/kWh",01.12.2023
Eins energie in Sachsen,Grundpreis,"201,36 €/Jahr",01.12.2023
Stadtwerke Sindelfingen,Arbeitspreis,"11,77 ct/kWh",01.01.2025
Stadtwerke Sindelfingen,Grundpreis,"174,93 €/Jahr",01.01.2025
Hertener Stadtwerke,Arbeitspreis,"11,71 ct/kWh",01.11.2024
Hertener Stadtwerke,Grundpreis,"172,67 €/Jahr",01.11.2024
Energieversorung Filstal,Arbeitspreis,"8,98 ct/kWh",01.01.2025
Energieversorung Filstal,Grundpreis,"173,74 €/Jahr",01.01.2025
Stadtwerke Waiblingen,Arbeitspreis,"13,67 ct/kWh",01.11.2024
Stadtwerke Waiblingen,Grundpreis,"178,50 €/Jahr",01.11.2024
henag Rheinische Energie,Arbeitspreis,"16,93 ct/kWh",01.04.2024
henag Rheinische Energie,Grundpreis,"179,93 €/Jahr",01.04.2024
Gasversorgung Görlitz,Arbeitspreis,"14,99 ct/kWh",01.01.2025
Gasversorgung Görlitz,Grundpreis,"108,53 €/Jahr",01.01.2025
Stadtwerke Speyer,Arbeitspreis,"13,44 ct/kWh",01.01.2025
Stadtwerke Speyer,Grundpreis,"133,84 €/Jahr",01.01.2025
Stadtwerke Willich,Arbeitspreis,"14,16 ct/kWh",01.04.2024
Stadtwerke Willich,Grundpreis,"264,18 €/Jahr",01.04.2024
NEW,Arbeitspreis,"14,25 ct/kWh",01.06.2024
NEW,Grundpreis,"125,24 €/Jahr",01.06.2024
Stadtwerke Husum,Arbeitspreis,"14,58 ct/kWh",01.08.2024
Stadtwerke Husum,Grundpreis,"202,30 €/Jahr",01.08.2024
Stadtwerke Döbeln,Arbeitspreis,"13,59 ct/kWh",01.01.2025
Stadtwerke Döbeln,Grundpreis,"87,88 €/Jahr",01.01.2025
Stadtwerke Senftenberg,Arbeitspreis,"12,10 ct/kWh",01.01.2025
Stadtwerke Senftenberg,Grundpreis,"94,02 €/Jahr",01.01.2025
BIGGE Energie,Arbeitspreis,"13,76 ct/kWh",01.02.2025
BIGGE Energie,Grundpreis,"171,36 €/Jahr",01.02.2025
Kraft und Wasserwerke Kitzingen,Arbeitspreis,"15,47 ct/kWh",01.01.2025
Kraft und Wasserwerke Kitzingen,Grundpreis,"142,81 €/Jahr",01.01.2025
E.ON Warburg,Arbeitspreis,"11,77 ct/kWh",01.01.2025
E.ON Warburg,Grundpreis,"192,38 €/Jahr",01.01.2025
Gasversorgung Main-Kinzig,Arbeitspreis,"13,20 ct/kWh",01.04.2025
Gasversorgung Main-Kinzig,Grundpreis,"210,49 €/Jahr",01.04.2025
Energie Waldeck-Frankenberg,Arbeitspreis,"13,09 ct/kWh",01.01.2025
Energie Waldeck-Frankenberg,Grundpreis,"114,24 €/Jahr",01.01.2025
Energieversorgung Apolda,Arbeitspreis,"16,45 ct/kWh",01.01.2025
Energieversorgung Apolda,Grundpreis,"138,88 €/Jahr",01.01.2025
Stadtwerke Lutherstadt Eisleben,Arbeitspreis,"12,90 ct/kWh",01.01.2025
Stadtwerke Lutherstadt Eisleben,Grundpreis,"199,02 €/Jahr",01.01.2025
Erdgas Kempten- Oberallgäu,Arbeitspreis,"11,28 ct/kWh",01.01.2025
Erdgas Kempten- Oberallgäu,Grundpreis,"142,81 €/Jahr",01.01.2025
Stadtwerke Rees,Arbeitspreis,"21,82 ct/kWh",01.01.2025
Stadtwerke Rees,Grundpreis,"164,22 €/Jahr",01.01.2025
BEW,Arbeitspreis,"13,99 ct/kWh",01.04.2025
BEW,Grundpreis,"100,00 €/Jahr",01.04.2025
Stadtwerke Glauchau,Arbeitspreis,"12,34 ct/kWh",01.01.2025
Stadtwerke Glauchau,Grundpreis,"234,19 €/Jahr",01.01.2025
Stadtwerke Hockenheim,Arbeitspreis,"12,35 ct/kWh",01.01.2025
Stadtwerke Hockenheim,Grundpreis,"214,20 €/Jahr",01.01.2025
Energie SÜdbayern,Arbeitspreis,"14,01 ct/kWh",01.10.2024
Energie SÜdbayern,Grundpreis,"251,99 €/Jahr",01.10.2024
Regionalwerk Bodensee,Arbeitspreis,"19,86 ct/kWh",01.01.2025
Regionalwerk Bodensee,Grundpreis,"171,65 €/Jahr",01.01.2025
